Name	Set	ImageFile	Rarity	S. Lvl	Category	Type
Nico Tina	Based	img0.png	Inert	1	Effect	Slime
The E. Slithers	Based	img1.png	Inert	1	Effect	Slime
Twoopedy	Based	img2.png	Inert	2	Effect	Slime
Amorphous Blob	Based	img3.png	Inert	2	AbNormal	Slime
Juvenile Dog	Based	img4.png	Inert	2	Effect	Slime
Angelatin	Based	img5.png	Inert	3	Effect	Slime
Living Mist	Based	img6.png	Inert	3	Effect	Slime
Froog the Jam	Based	img7.png	Inert	3	AbNormal	Slime
Slimel, the Slimaid	Based	img8.png	Inert	3	Effect	Slime
SlimeBall Jr.	Based	img9.png	Inert	3	Effect	Slime
Slime Boi	Based	img10.png	Inert	3	AbNormal	Slime
Questing Slime	Based	img11.png	Inert	3	Effect	Slime
Slimermaid's Acolyte	Based	img12.png	Inert	4	Effect	Slime
JPEG Slime Knight	Based	img13.png	Inert	4	Effect	Slime
Slime Knight	Based	img14.png	Inert	4	AbNormal	Slime
Doopedy Shmoople	Based	img15.png	Unstable	4	Effect	Slime
Minecraft Slime	Based	img16.png	Inert	4	Effect	Slime
SlimeEye	Based	img17.png	Inert	4	Effect	Slime
DoppelGangster	Based	img18.png	Inert	4	Effect	Slime
Manos, the Battling Blob	Based	img19.png	Inert	4	Effect	Slime
The Midnight Goo	Based	img20.png	Inert	4	Effect	Slime
Slimeurai	Based	img21.png	Unstable	4	Effect	Slime
SlimeBall	Based	img22.png	Unstable	5	Effect	Slime
Magma Cube	Based	img23.png	Unstable	5	Effect	Slime
DinoSlime Raptor	Based	img24.png	Unstable	5	Effect	Slime
SlimeGirl	Based	img25.png	Unstable	6	Effect	Slime
Wild SlimeGirl	Based	img26.png	Unstable	6	Effect	Slime
JPEG SlimeGirl	Based	img27.png	Unstable	6	Effect	Slime
Gooardian of the Gooasis	Based	img28.png	Unstable	6	Effect	Slime
Smog Genie	Based	img29.png	Unstable	7	Effect	Slime
DinoSlime Rex	Based	img30.png	Unstable	7	Effect	Slime
Don SlimeBall	Based	img31.png	Unstable	7	Effect	Slime
Slime Magician	Based	img32.png	Unstable	7	Effect	Slime
Megaslime	Based	img33.png	Unstable	7	Effect	Slime
Slimefield	Based	img34.png	Rare-Dioactive	8	Effect	Slime
Slime 8 Ball	Based	img35.png	Unstable	8	Effect	Slime
Armed Megaslime	Based	img36.png	Rare-Dioactive	8	Mix	Slime
Rainboa Constrictor	Based	img37.png	Rare-Dioactive	9	Effect	Slime
The Dragonsaur	Based	img38.png	Rare-Dioactive	9	AbNormal	Slime
The Legendary Slimermaid	Based	img39.png	Super Critical NucleaRare	9	Effect	Slime
Sourpuss	Based	img40.png	Rare-Dioactive	9	Effect	Slime
Green Eyes Slime Dragon	Based	img41.png	Rare-Dioactive	10	AbNormal	Slime
JPEG Green Eyes Slime Dragon	Based	img42.png	Rare-Dioactive	10	Effect	Slime
Gigaslime	Based	img43.png	Rare-Dioactive	10	Effect	Slime
Beholdslime	Based	img44.png	Rare-Dioactive	11	Effect	Slime
Esulimeron	Based	img45.png	Rare-Dioactive	11	Effect	Slime
Archangelatin	Based	img46.png	Super Critical NucleaRare	11	Effect	Slime
Slimexodia, the Forbidden Slime	Based	img47.png	Super Critical NucleaRare	12	Effect	Slime
Five Headed Green Eyes Slime Monstrosity	Based	img48.png	Super Critical NucleaRare	12	Mix	Slime
Omegaslime	Based	img49.png	Super Critical NucleaRare	12	Mix	Slime
Sewer Spook	Based	img50.png	Inert	1	AbNormal	Nega
Ghost Sord	Based	img51.png	Inert	2	Effect	Nega
Negaslimeoid	Based	img52.png	Inert	1	Effect	Nega
Negageist	Based	img53.png	Inert	2	Effect	Nega
Spoopy Ghost	Based	img54.png	Unstable	3	Effect	Nega
Eldlisludge Horror	Based	img55.png	Unstable	4	Effect	Nega
Spooky Scary Skeleton	Based	img56.png	Unstable	5	Effect	Nega
Nega SlimeGirl	Based	img57.png	Unstable	6	Effect	Nega
Spooky Scary Skeletons	Based	img58.png	Rare-Dioactive	10	Mix	Nega
The Leech King	Based	img59.png	Rare-Dioactive	11	Effect	Nega
The Negaslime, Eclipse of Death	Based	img60.png	Super Critical NucleaRare	12	Effect	Nega
KuriPou	Based	img61.png	Inert	1	Effect	Poudrin
Slime-arble	Based	img62.png	Inert	1	Effect	Poudrin
Jewelbee	Based	img63.png	Unstable	1	Effect	Poudrin
Butterjewel	Based	img64.png	Unstable	1	Effect	Poudrin
Jewelsquito	Based	img65.png	Unstable	1	Effect	Poudrin
Beetlejewel	Based	img66.png	Unstable	1	Effect	Poudrin
Ladyjewel	Based	img67.png	Unstable	1	Effect	Poudrin
The Ultimate Jewelbug	Based	img68.png	Rare-Dioactive	1	Mix	Poudrin
Living Bottle	Based	img69.png	Inert	2	Effect	Poudrin
Prism (No Relation)	Based	img70.png	Inert	3	Effect	Poudrin
Living Armor	Based	img71.png	Inert	3	Effect	Poudrin
Poudrin-Tooth Tiger	Based	img72.png	Inert	4	AbNormal	Poudrin
Living Shield	Based	img73.png	Inert	4	Effect	Poudrin
Living Molotov	Based	img74.png	Unstable	5	Effect	Poudrin
Giant Poudrin Crab	Based	img75.png	Unstable	5	AbNormal	Poudrin
